practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
25A South Street,,"DALKEITH, NA",EH221AH,Edinburgh & Lothians (EH22),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
21 High Street,,"DALKEITH, NA",EH221JB,Edinburgh & Lothians (EH22),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Midlothian Dental Practice,,"16 EDINBURGH ROAD, DALKEITH",EH221JZ,Edinburgh & Lothians (EH22),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Bosco Dental Studio,,"UNIT 3, 25 THORNY CROOK GARDENS, DALKEITH",EH222RF,Edinburgh & Lothians (EH22),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
5 Station Road,,"NEWTONGRANGE, MIDLOTHIAN",EH224NB,Edinburgh & Lothians (EH22),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
1A Mayfield Place,,"MAYFIELD, DALKEITH, MIDLOTHIAN",EH225EE,Edinburgh & Lothians (EH22),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
19 Main Street,,"GOREBRIDGE, NA",EH234BX,Edinburgh & Lothians (EH23),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
6 Main Street,,"ROSLIN, MIDLOTHIAN",EH259LE,Edinburgh & Lothians (EH25),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
91A John Street,,"PENICUIK, MIDLOTHIAN",EH268AG,Edinburgh & Lothians (EH26),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Penicuik Dental Centre,,"38 HIGH STREET, PENICUIK",EH268HU,Edinburgh & Lothians (EH26),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
16 Bridge Street,,"PENICUIK, MIDLOTHIAN",EH268LN,Edinburgh & Lothians (EH26),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
17 Main Street,,"KIRKLISTON, WEST LOTHIAN",EH299AE,Edinburgh & Lothians (EH29),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
