"Dental_Practice_Code","address1","address2","address3","pc7","HB","HBQF","HSCP","HSCPQF","CA","CAQF","DataZone","DataZoneQF","Registrations","RegistrationsQF"
729,"75 HIGH STREET","KINROSS",NA,"KY138AA","S08000030","","S37000033","","S12000048","","S01011838","","2781",""
730,"KINROSS FAMILY DENTAL","2 STATION ROAD","KINROSS","KY138TD","S08000030","","S37000033","","S12000048","","S01011842","","373",""
732,"BONNYGATE DENTAL PRACTICE","98 BONNYGATE","CUPAR, FIFE","KY154LB","S08000029","","S37000032","","S12000047","","S01009689","","8446",""
733,"THE CUPAR DENTIST","7 CASTLE STREET","CUPAR, FIFE","KY154AU","S08000029","","S37000032","","S12000047","","S01009690","","2176",""
734,"EDEN DENTAL CARE","34 CROSSGATE","CUPAR, FIFE","KY155HH","S08000029","","S37000032","","S12000047","","S01009686","","2706",""
735,"PRODENTAL","12 CROSSGATE","CUPAR, FIFE","KY155HH","S08000029","","S37000032","","S12000047","","S01009686","","6195",""
737,"ST ANDREWS DENTAL CARE","2 LOCKHART PLACE","ST ANDREWS, FIFE","KY169XB","S08000029","","S37000032","","S12000047","","S01009726","","89",""
740,"VICEROY STREET DENTAL PRACTICE","4 VICEROY STREET","KIRKCALDY","KY2 5HT","S08000029","","S37000032","","S12000047","","S01009481","","3312",""
743,"HELEN MACDONALD DENTAL PRACTICE","100 SOMERVILLE STREET","BURNTISLAND, FIFE","KY3 9DH","S08000029","","S37000032","","S12000047","","S01009459","","2275",""
745,"KELTY DENTAL PRACTICE","74/76 MAIN STREET","KELTY, FIFE","KY4 0AE","S08000029","","S37000032","","S12000047","","S01009424","","6742",""
747,"BREEZE FAMILY DENTAL COWDENBEATH","1 FOULFORD STREET","COWDENBEATH","KY4 9NB","S08000029","","S37000032","","S12000047","","S01009415","","6546",""
748,"BREEZE FAMILY DENTAL CARDENDEN","154 STATION STREET","CARDENDEN","KY5 0BL","S08000029","","S37000032","","S12000047","","S01009440","","1746",""
751,"BUPA DENTAL CARE","11 CULZEAN PLACE","GLENROTHES FIFE","KY7 4RX","S08000029","","S37000032","","S12000047","","S01009586","","4576",""
753,"NORTH STREET DENTAL PRACTICE","4 NORTH STREET","GLENROTHES","KY7 5NA","S08000029","","S37000032","","S12000047","","S01009574","","3314",""
757,"BUCKHAVEN DENTAL PRACTICE","2 BROWN STREET","BUCKHAVEN, FIFE","KY8 1JW","S08000029","","S37000032","","S12000047","","S01009621","","4025",""
761,"LEVENMOUTH DENTAL SPA","46 COMMERCIAL ROAD","LEVEN","KY8 4LA","S08000029","","S37000032","","S12000047","","S01009642","","7474",""
766,"DALZIEL DENTAL SURGERY","1 DALZIEL STREET","MOTHERWELL","ML1 1PJ","S08000032","","S37000035","","S12000050","","S01011472","","4517",""
767,"WINDMILL DENTAL CARE","79 WINDMILLHILL STREET","MOTHERWELL","ML1 1RY","S08000032","","S37000035","","S12000050","","S01011381","","11238",""
