company_name,company_number,registered_office_address,postcode,phone,website,sic_codes,company_status,date_of_creation,director_names,director_roles,officer_count,crm_detected,crm_confidence,crm_evidence,blast_segment,wisecall_tier,corporate_group,corporate_group_name,area,source,notes
ELDON ESTATE AGENTS LIMITED,09470349,"292 Dewsbury Road, Beeston, Leeds, West Yorkshire, LS11 6JT",LS11 6JT,,,68310,active,2015-03-04,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,LS11,Companies House API,
ARCH ESTATE AGENTS LIMITED,05963542,"50 Austhorpe Road, Leeds, LS15 8DX, England",LS15 8DX,,,68310,active,2006-10-11,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,LS15,Companies House API,
EMSLEYS ESTATE AGENTS LIMITED,08699665,"Colton Mill, Bullerthorpe Lane, Leeds, West Yorkshire, LS15 9JN",LS15 9JN,,,68310,active,2013-09-20,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,LS15,Companies House API,
ALAN COOKE ESTATE AGENTS LIMITED,06539351,"382 Harrogate Road, Leeds, LS17 6PY",LS17 6PY,,,68310,active,2008-03-19,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,LS17,Companies House API,
FOUNDATIONS THE ESTATE AGENTS LIMITED,05442504,"5 Gelderd Road, Gildersome, Morley, Leeds, LS27 7JN, England",LS27 7JN,,,68310,active,2005-05-04,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,LS27,Companies House API,
E & H ESTATE AGENTS LIMITED,08609859,"Dalton House, 1 Hawksworth Street, Ilkley, West Yorkshire, LS29 9DU",LS29 9DU,,,68310,liquidation,2013-07-15,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,LS29,Companies House API,
CASTLEHILL ESTATE AGENTS LIMITED,05561246,"21 Otley Road, Headingley, Leeds, West Yorkshire, LS6 3AA",LS6 3AA,,,68310,active,2005-09-12,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,LS6,Companies House API,
ALAN COOKE ESTATE AGENTS (MEANWOOD) LIMITED,08067460,"15a Stonegate Road, Leeds, LS6 4HZ, England",LS6 4HZ,,,68310,active,2012-05-14,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,LS6,Companies House API,
EMINENT ESTATE AGENTS LTD,10857922,"78 Park Street, Luton, Bedfordshire, LU1 3EU, England",LU1 3EU,,,68310,active,2017-07-10,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,LU1,Companies House API,
ELEVATION ESTATE AGENTS LIMITED,04994008,"Church View Chambers, 38 Market Square, Toddignton, Bedfordshire, LU5 6BS",LU5 6BS,,,68310,active,2003-12-12,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,LU5,Companies House API,
CROFTS ESTATE AGENTS LIMITED,05624456,"Cumbria House, 16-20 Hockliffe Street, Leighton Buzzard, LU7 1GN, England",LU7 1GN,,,68310,active,2005-11-16,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,LU7,Companies House API,
FLOWERS ESTATE AGENTS LTD,08605222,"Cumbria House, 16- 20 Hockliffe Street, Leighton Buzzard, Bedfordshire, LU7 1GN, England",LU7 1GN,,,68310,active,2013-07-11,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,LU7,Companies House API,
COUNTRYWIDE ESTATE AGENTS LIMITED,00789476,"Cumbria House, 16-20 Hockliffe Street, Leighton Buzzard, Bedfordshire, LU7 1GN, United Kingdom",LU7 1GN,,,"68310, 68320, 82990",active,1964-01-27,,,0,,,,Unknown CRM - manual check,Tier 4 - Corporate group (lower priority),Yes,Countrywide,LU7,Companies House API,
